note,points,harmonic_core_points,spawned_note_box_points,spawned_residual_points,unassigned_points,assigned_harmonics,out_csv,out_png,out_html
041_piano_real_9.2-,106495,5538,26387,8908,65662,1 2 3 4 5 6 7 8 9 10 11 12,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\041_piano_real_9.2-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\041_piano_real_9.2-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\041_piano_real_9.2-__harmonic_chain_spiral3d.html
042_piano_real_9.3-,63116,5383,9906,12203,35624,1 2 3 4 5 6 7 8 9 10 11 12,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\042_piano_real_9.3-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\042_piano_real_9.3-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\042_piano_real_9.3-__harmonic_chain_spiral3d.html
043_piano_real_9.4-,66901,4838,14004,10973,37086,1 2 3 4 5 6 7 8 9 10 11 12,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\043_piano_real_9.4-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\043_piano_real_9.4-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\043_piano_real_9.4-__harmonic_chain_spiral3d.html
044_piano_real_9.5-,59922,4767,12630,11589,30936,1 2 3 4 5 6 7 8 9 10 11 12,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\044_piano_real_9.5-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\044_piano_real_9.5-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\044_piano_real_9.5-__harmonic_chain_spiral3d.html
045_piano_real_9.6-,78323,5503,20584,10572,41664,1 2 3 4 5 6 7 8 9 10 11 12,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\045_piano_real_9.6-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\045_piano_real_9.6-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\045_piano_real_9.6-__harmonic_chain_spiral3d.html
046_piano_real_9.7-,81081,5660,23725,9815,41881,1 2 3 4 5 6 7 8 9 10 11 12,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\046_piano_real_9.7-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\046_piano_real_9.7-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\046_piano_real_9.7-__harmonic_chain_spiral3d.html
047_piano_real_9.8-,100678,6237,32240,9265,52936,1 2 3 4 5 6 7 8 9 10 11 12,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\047_piano_real_9.8-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\047_piano_real_9.8-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\047_piano_real_9.8-__harmonic_chain_spiral3d.html
048_piano_real_9.9-,96242,5803,31704,10026,48709,1 2 3 4 5 6 7 8 9 10 11 12,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\048_piano_real_9.9-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\048_piano_real_9.9-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\048_piano_real_9.9-__harmonic_chain_spiral3d.html
049_piano_real_9.A-,78622,4605,24286,11362,38369,1 2 3 4 5 6 7 8 9 10 11 12,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\049_piano_real_9.A-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\049_piano_real_9.A-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\049_piano_real_9.A-__harmonic_chain_spiral3d.html
050_piano_real_9.B-,87982,5309,31378,9738,41557,1 2 3 4 5 6 7 8 9 10 11 12,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\050_piano_real_9.B-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\050_piano_real_9.B-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\050_piano_real_9.B-__harmonic_chain_spiral3d.html
051_piano_real_9.C-,71459,4064,27799,6161,33435,1 2 3 4 5 6 7 8 9 10 11 12,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\051_piano_real_9.C-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\051_piano_real_9.C-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\051_piano_real_9.C-__harmonic_chain_spiral3d.html
052_piano_real_A.1-,87222,5359,34742,8407,38714,1 2 3 4 5 6 7 8 9 10 11 12,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\052_piano_real_A.1-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\052_piano_real_A.1-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\052_piano_real_A.1-__harmonic_chain_spiral3d.html
053_piano_real_A.2-,89831,5244,37657,8093,38837,1 2 3 4 5 6 7 8 9 10 11 12,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\053_piano_real_A.2-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\053_piano_real_A.2-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\053_piano_real_A.2-__harmonic_chain_spiral3d.html
054_piano_real_A.3-,75745,4800,31540,7935,31470,1 2 3 4 5 6 7 8 9 10 11 12,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\054_piano_real_A.3-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\054_piano_real_A.3-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\054_piano_real_A.3-__harmonic_chain_spiral3d.html
055_piano_real_A.4-,86711,5353,38713,7706,34939,1 2 3 4 5 6 7 8 9 10 11 12,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\055_piano_real_A.4-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\055_piano_real_A.4-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\055_piano_real_A.4-__harmonic_chain_spiral3d.html
056_piano_real_A.5-,93733,5677,46211,6082,35763,1 2 3 4 5 6 7 8 9 10 11 12,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\056_piano_real_A.5-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\056_piano_real_A.5-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\056_piano_real_A.5-__harmonic_chain_spiral3d.html
057_piano_real_A.6-,85819,5410,43836,5074,31499,1 2 3 4 5 6 7 8 9 10 11 12,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\057_piano_real_A.6-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\057_piano_real_A.6-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\057_piano_real_A.6-__harmonic_chain_spiral3d.html
058_piano_real_A.7-,73211,5062,36023,6865,25261,1 2 3 4 5 6 7 8 9 10 11 12,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\058_piano_real_A.7-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\058_piano_real_A.7-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\058_piano_real_A.7-__harmonic_chain_spiral3d.html
059_piano_real_A.8-,94319,6175,52681,5287,30176,1 2 3 4 5 6 7 8 9 10 11 12,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\059_piano_real_A.8-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\059_piano_real_A.8-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\059_piano_real_A.8-__harmonic_chain_spiral3d.html
060_piano_real_A.9-,84213,5907,47498,4672,26136,1 2 3 4 5 6 7 8 9 10 11 12,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\060_piano_real_A.9-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\060_piano_real_A.9-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\060_piano_real_A.9-__harmonic_chain_spiral3d.html
061_piano_real_A.A-,59560,4563,32555,3990,18452,1 2 3 4 5 6 7 8 9 10 11 12,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\061_piano_real_A.A-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\061_piano_real_A.A-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\061_piano_real_A.A-__harmonic_chain_spiral3d.html
062_piano_real_A.B-,75022,5631,40928,3595,24868,1 2 3 4 5 6 7 8 9 10 11 12,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\062_piano_real_A.B-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\062_piano_real_A.B-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\062_piano_real_A.B-__harmonic_chain_spiral3d.html
063_piano_real_A.C-,66325,5295,35511,2955,22564,1 2 3 4 5 6 7 8 9 10 11 12,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\063_piano_real_A.C-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\063_piano_real_A.C-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\063_piano_real_A.C-__harmonic_chain_spiral3d.html
064_piano_real_B.1-,86740,6840,46168,3039,30693,1 2 3 4 5 6 7 8 9 10 11 12,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\064_piano_real_B.1-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\064_piano_real_B.1-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\064_piano_real_B.1-__harmonic_chain_spiral3d.html
065_piano_real_B.2-,69537,5936,35785,2481,25335,1 2 3 4 5 6 7 8 9 10 11 12,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\065_piano_real_B.2-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\065_piano_real_B.2-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\065_piano_real_B.2-__harmonic_chain_spiral3d.html
066_piano_real_B.3-,74159,6476,38181,1963,27539,1 2 3 4 5 6 7 8 9 10 11 12,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\066_piano_real_B.3-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\066_piano_real_B.3-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\066_piano_real_B.3-__harmonic_chain_spiral3d.html
067_piano_real_B.4-,73271,6763,36338,1853,28317,1 2 3 4 5 6 7 8 9 10 11 12,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\067_piano_real_B.4-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\067_piano_real_B.4-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\067_piano_real_B.4-__harmonic_chain_spiral3d.html
068_piano_real_B.5-,61242,5738,29619,1628,24257,1 2 3 4 5 6 7 8 9 10 11 12,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\068_piano_real_B.5-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\068_piano_real_B.5-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\068_piano_real_B.5-__harmonic_chain_spiral3d.html
069_piano_real_B.6-,59644,6004,28843,1184,23613,1 2 3 4 5 6 7 8 9 10 11 12,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\069_piano_real_B.6-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\069_piano_real_B.6-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\069_piano_real_B.6-__harmonic_chain_spiral3d.html
070_piano_real_B.7-,66595,6968,32287,962,26378,1 2 3 4 5 6 7 8 9 10 11 12,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\070_piano_real_B.7-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\070_piano_real_B.7-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\070_piano_real_B.7-__harmonic_chain_spiral3d.html
071_piano_real_B.8-,45265,4797,21019,944,18505,1 2 3 4 5 6 7 8 9 10 11 12,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\071_piano_real_B.8-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\071_piano_real_B.8-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\071_piano_real_B.8-__harmonic_chain_spiral3d.html
072_piano_real_B.9-,46359,5124,21196,775,19264,1 2 3 4 5 6 7 8 9 10 11 12,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\072_piano_real_B.9-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\072_piano_real_B.9-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\072_piano_real_B.9-__harmonic_chain_spiral3d.html
073_piano_real_B.A-,43816,4935,20676,527,17678,1 2 3 4 5 6 7 8 9 10 11 12,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\073_piano_real_B.A-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\073_piano_real_B.A-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\073_piano_real_B.A-__harmonic_chain_spiral3d.html
074_piano_real_B.B-,45178,4735,20778,503,19162,1 2 3 4 5 6 7 8 9 10 11 12,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\074_piano_real_B.B-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\074_piano_real_B.B-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\074_piano_real_B.B-__harmonic_chain_spiral3d.html
075_piano_real_B.C-,48453,5227,21883,474,20869,1 2 3 4 5 6 7 8 9 10 11,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\075_piano_real_B.C-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\075_piano_real_B.C-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\075_piano_real_B.C-__harmonic_chain_spiral3d.html
076_piano_real_C.1-,38757,3631,15275,348,19503,1 2 3 4 5 6 7 8 9 10,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\076_piano_real_C.1-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\076_piano_real_C.1-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\076_piano_real_C.1-__harmonic_chain_spiral3d.html
077_piano_real_C.2-,38217,3481,14538,295,19903,1 2 3 4 5 6 7 8 9 10,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\077_piano_real_C.2-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\077_piano_real_C.2-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\077_piano_real_C.2-__harmonic_chain_spiral3d.html
078_piano_real_C.3-,33868,2950,12735,212,17971,1 2 3 4 5 6 7 8 9,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\078_piano_real_C.3-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\078_piano_real_C.3-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\078_piano_real_C.3-__harmonic_chain_spiral3d.html
079_piano_real_C.4-,35100,2656,12115,291,20038,1 2 3 4 5 6 7 8 9,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\079_piano_real_C.4-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\079_piano_real_C.4-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\079_piano_real_C.4-__harmonic_chain_spiral3d.html
080_piano_real_C.5-,27180,2015,8560,172,16433,1 2 3 4 5 6 7 8,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\080_piano_real_C.5-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\080_piano_real_C.5-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\080_piano_real_C.5-__harmonic_chain_spiral3d.html
081_piano_real_C.6-,27560,1915,8296,191,17158,1 2 3 4 5 6 7 8,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\081_piano_real_C.6-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\081_piano_real_C.6-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\081_piano_real_C.6-__harmonic_chain_spiral3d.html
082_piano_real_C.7-,27736,1829,8040,107,17760,1 2 3 4 5 6 7,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\082_piano_real_C.7-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\082_piano_real_C.7-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\082_piano_real_C.7-__harmonic_chain_spiral3d.html
083_piano_real_C.8-,36314,2421,10464,134,23295,1 2 3 4 5 6 7,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\083_piano_real_C.8-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\083_piano_real_C.8-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\083_piano_real_C.8-__harmonic_chain_spiral3d.html
084_piano_real_C.9-,26722,1544,6262,132,18784,1 2 3 4 5 6,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\084_piano_real_C.9-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\084_piano_real_C.9-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\084_piano_real_C.9-__harmonic_chain_spiral3d.html
085_piano_real_C.A-,24541,1284,5735,88,17434,1 2 3 4 5 6,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\085_piano_real_C.A-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\085_piano_real_C.A-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\085_piano_real_C.A-__harmonic_chain_spiral3d.html
086_piano_real_C.B-,28508,1377,6407,92,20632,1 2 3 4 5 6,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\086_piano_real_C.B-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\086_piano_real_C.B-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\086_piano_real_C.B-__harmonic_chain_spiral3d.html
087_piano_real_C.C-,24949,1229,5615,38,18067,1 2 3 4 5,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\087_piano_real_C.C-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\087_piano_real_C.C-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\087_piano_real_C.C-__harmonic_chain_spiral3d.html
088_piano_real_11.1-,21962,1014,4825,43,16080,1 2 3 4 5,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\088_piano_real_11.1-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\088_piano_real_11.1-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\088_piano_real_11.1-__harmonic_chain_spiral3d.html
