note,points,harmonic_core_points,spawned_note_box_points,spawned_residual_points,unassigned_points,assigned_harmonics,out_csv,out_png,out_html
011_piano_real_6.8-,44525,3108,7859,3530,30028,1 2 3 4 5 6 7 8 9 10 11 12,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\011_piano_real_6.8-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\011_piano_real_6.8-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\011_piano_real_6.8-__harmonic_chain_spiral3d.html
012_piano_real_6.9-,61860,5131,7849,3207,45673,1 2 3 4 5 6 7 8 9 10 11 12,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\012_piano_real_6.9-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\012_piano_real_6.9-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\012_piano_real_6.9-__harmonic_chain_spiral3d.html
013_piano_real_6.A-,65882,4054,8650,4223,48955,1 2 3 4 5 6 7 8 9 10 11 12,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\013_piano_real_6.A-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\013_piano_real_6.A-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\013_piano_real_6.A-__harmonic_chain_spiral3d.html
014_piano_real_6.B-,71231,5567,7658,3976,54030,1 2 3 4 5 6 7 8 9 10 11 12,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\014_piano_real_6.B-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\014_piano_real_6.B-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\014_piano_real_6.B-__harmonic_chain_spiral3d.html
015_piano_real_6.C-,61515,5124,7512,3799,45080,1 2 3 4 5 6 7 8 9 10 11 12,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\015_piano_real_6.C-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\015_piano_real_6.C-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\015_piano_real_6.C-__harmonic_chain_spiral3d.html
016_piano_real_7.1-,35736,6773,5028,3993,19942,1 2 3 4 5 6 7 8 9 10 11 12,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\016_piano_real_7.1-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\016_piano_real_7.1-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\016_piano_real_7.1-__harmonic_chain_spiral3d.html
017_piano_real_7.2-,42580,6808,6347,3469,25956,1 2 3 4 5 6 7 8 9 10 11 12,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\017_piano_real_7.2-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\017_piano_real_7.2-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\017_piano_real_7.2-__harmonic_chain_spiral3d.html
018_piano_real_7.3-,45208,7868,6729,3681,26930,1 2 3 4 5 6 7 8 9 10 11 12,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\018_piano_real_7.3-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\018_piano_real_7.3-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\018_piano_real_7.3-__harmonic_chain_spiral3d.html
019_piano_real_7.4-,32431,7611,5481,3812,15527,1 2 3 4 5 6 7 8 9 10 11 12,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\019_piano_real_7.4-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\019_piano_real_7.4-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\019_piano_real_7.4-__harmonic_chain_spiral3d.html
020_piano_real_7.5-,54705,7191,5632,5039,36843,1 2 3 4 5 6 7 8 9 10 11 12,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\020_piano_real_7.5-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\020_piano_real_7.5-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\020_piano_real_7.5-__harmonic_chain_spiral3d.html
