instrument_a,instrument_b,harmonics_used,mean_shape_l2,max_shape_l2,mean_raw_l2,mean_corr_distance,morphology_distance_score
RealPiano_1_1,cello,24,0.23833093842963105,0.6536750861517687,0.06633002236977943,1.0755587665461024,0.42183775804977114
RealPiano_1_1,violin,24,0.2231564525779858,0.5502743990855093,0.08167762515270081,1.067937444313844,0.41312987639815757
cello,violin,24,0.14728688630054407,0.3978054659605175,0.05113816594762365,0.7840204155473129,0.2920479605592982
